ID	Reads raw	Reads QC	N seqs	Sum length	Min. length	Avg. length	Max. length
NCBN002890_A01_RMNH_INS_23293	18807418	18688222	11	9032	354	821.1	1381
NCBN002890_A02_RMNH_INS_1719806	24789536	24724132	1	15155	15155	15155	15155
NCBN002890_A03_RMNH_INS_1719811	24806992	24751328	1	15170	15170	15170	15170
NCBN002890_A04_RMNH_INS_1719818	31691130	31628634	NA	NA	NA	NA	NA
NCBN002890_A05_RMNH_INS_1719828	33724488	33661352	1	15181	15181	15181	15181
NCBN002890_A06_RMNH_INS_31812	29091322	29075164	NA	NA	NA	NA	NA
NCBN001861_A07_RMNH_INS_25507	115404	113310	NA	NA	NA	NA	NA
NCBN002890_A07_RMNH_INS_25673	15995628	15922086	1	15153	15153	15153	15153
NCBN001861_A08_RMNH_INS_25505	64258	61986	NA	NA	NA	NA	NA
NCBN001861_A09_RMNH_INS_25532	217584	213462	NA	NA	NA	NA	NA
NCBN001861_A10_RMNH_INS_25527	585112	582666	NA	NA	NA	NA	NA
NCBN001861_A11_RMNH_INS_25470	75466	73260	NA	NA	NA	NA	NA
NCBN002884_A12_ZSM_Lep_160419	96192	93932	NA	NA	NA	NA	NA
NCBN002890_B01_RMNH_INS_21896	7915954	7879588	8	5790	302	723.8	1540
NCBN002890_B02_RMNH_INS_1719807	19383650	19308428	9	10148	396	1127.6	2962
NCBN002890_B03_RMNH_INS_1719812	17147218	17091156	1	15155	15155	15155	15155
NCBN002890_B04_RMNH_INS_1719819	24444428	24420780	2	15246	7307	7623	7939
NCBN002890_B05_RMNH_INS_1719829	28659996	28579738	1	15088	15088	15088	15088
NCBN002890_B06_RMNH_INS_25607	2269808	2247570	1	317	317	317	317
NCBN001861_B07_RMNH_INS_25494	169896	167192	NA	NA	NA	NA	NA
NCBN002890_B07_RMNH_INS_25676	6957860	6945590	1	15150	15150	15150	15150
NCBN002884_B08_RMNH_INS_18436	60550	57366	NA	NA	NA	NA	NA
NCBN002890_B08_RMNH_INS_25682	37689828	37663410	1	15131	15131	15131	15131
NCBN001861_B09_RMNH_INS_25531	404522	398150	NA	NA	NA	NA	NA
NCBN001861_B10_RMNH_INS_25466	348036	341570	NA	NA	NA	NA	NA
NCBN001861_B11_RMNH_INS_25534	130270	127496	NA	NA	NA	NA	NA
NCBN002884_B12_MZLU00236121	865634	861216	6	10192	886	1698.7	2856
NCBN002890_C01_RMNH_INS_1719804	27145284	27093370	1	15245	15245	15245	15245
NCBN002890_C02_RMNH_INS_1719808	18926232	18850422	6	12370	546	2061.7	4701
NCBN002890_C03_RMNH_INS_1719813	17183736	17118974	9	10321	489	1146.8	2584
NCBN002890_C04_RMNH_INS_1719824	18922294	18855378	7	14694	758	2099.1	3576
NCBN002890_C05_RMNH_INS_25263	27924684	27864528	1	15174	15174	15174	15174
NCBN002890_C06_RMNH_INS_25608	4734574	4688434	1	15348	15348	15348	15348
NCBN001861_C07_RMNH_INS_25525	144310	137552	NA	NA	NA	NA	NA
NCBN002890_C07_RMNH_INS_25677	36333702	36310464	1	15151	15151	15151	15151
NCBN002884_C08_RMNH_INS_30287	11796814	11774930	1	15184	15184	15184	15184
NCBN002890_C08_RMNH_INS_25683	10754764	10738992	1	15093	15093	15093	15093
NCBN001861_C09_RMNH_INS_25526	3029564	3023656	4	3959	560	989.8	1348
NCBN001861_C10_RMNH_INS_25473	60650	56996	NA	NA	NA	NA	NA
NCBN001861_C11_RMNH_INS_25539	357978	351304	4	2026	322	506.5	735
NCBN002884_C12_RMNH_INS_25629	1133490	1129484	10	10737	393	1073.7	2239
NCBN002890_D01_RMNH_INS_21715	16575708	16492944	10	10443	546	1044.3	1918
NCBN002890_D02_RMNH_INS_1719809	23511884	23437698	1	15188	15188	15188	15188
NCBN002890_D03_RMNH_INS_1719814	27301864	27233328	1	15172	15172	15172	15172
NCBN002890_D04_RMNH_INS_22334	111664	108148	NA	NA	NA	NA	NA
NCBN002890_D05_RMNH_INS_1719830	26566912	26502974	1	15091	15091	15091	15091
NCBN002890_D06_RMNH_INS_25609	27397720	27334730	NA	NA	NA	NA	NA
NCBN001861_D07_RMNH_INS_25503	40444	35994	NA	NA	NA	NA	NA
NCBN002890_D07_RMNH_INS_31854	30637172	30571182	1	15150	15150	15150	15150
NCBN000729_D08_RMNH_5012114	232138	222204	NA	NA	NA	NA	NA
NCBN001861_D08_RMNH_INS_25502	123918	119762	NA	NA	NA	NA	NA
NCBN001861_D09_RMNH_INS_25479	295328	290704	NA	NA	NA	NA	NA
NCBN001861_D10_RMNH_INS_25536	8341874	8334820	10	4659	307	465.9	676
NCBN002884_D11_ZSM_Lep_160420	36880272	36854412	1	15152	15152	15152	15152
NCBN002884_D12_ZSM_Lep_160416	1273076	1269230	6	12294	500	2049	3959
NCBN002890_E01_RMNH_INS_21714	22409908	22308586	2	14768	2552	7384	12216
NCBN002890_E02_RMNH_INS_22549	21373412	21303296	NA	NA	NA	NA	NA
NCBN002890_E03_RMNH_INS_1719815	18566124	18516532	1	15129	15129	15129	15129
NCBN002890_E04_RMNH_INS_23221	13799174	13744584	8	2917	272	364.6	687
NCBN002890_E05_RMNH_INS_1719831	8319640	8290098	5	11123	1299	2224.6	3802
NCBN002890_E06_RMNH_INS_25610	8422470	8380338	1	15119	15119	15119	15119
NCBN001861_E07_RMNH_INS_25504	38370	35318	NA	NA	NA	NA	NA
NCBN002890_E07_RMNH_INS_31855	4492642	4477774	9	7561	321	840.1	1953
NCBN001064_E08_RMNH_INS_25054	2282252	2275106	1	15348	15348	15348	15348
NCBN002884_E08_RMNH_INS_25664	138712	134266	NA	NA	NA	NA	NA
NCBN001861_E09_RMNH_INS_25541	668264	664810	1	316	316	316	316
NCBN001861_E10_RMNH_INS_25480	1411910	1410448	NA	NA	NA	NA	NA
NCBN002884_E11_RMNH_INS_15291	1080626	1076806	5	11061	1550	2212.2	2711
NCBN000729_E12_RMNH_5012129	226674	216216	NA	NA	NA	NA	NA
NCBN002890_F01_RMNH_INS_21717	12271432	12201564	10	7013	313	701.3	981
NCBN002890_F02_RMNH_INS_22294	27640742	27564166	NA	NA	NA	NA	NA
NCBN002890_F03_RMNH_INS_1556756	27347112	27257874	NA	NA	NA	NA	NA
NCBN002890_F04_RMNH_INS_1719825	18130566	18067688	7	12459	710	1779.9	2855
NCBN002890_F05_RMNH_INS_1719832	22634012	22544504	NA	NA	NA	NA	NA
NCBN002890_F06_RMNH_INS_25612	14944284	14872822	1	15048	15048	15048	15048
NCBN001861_F07_RMNH_INS_25506	205380	201254	NA	NA	NA	NA	NA
NCBN002890_F07_RMNH_INS_31856	1105072	1095856	NA	NA	NA	NA	NA
NCBN001861_F08_RMNH_INS_25475	152940	150120	NA	NA	NA	NA	NA
NCBN002890_F08_RMNH_INS_25615	8352490	8335958	1	16299	16299	16299	16299
NCBN001861_F09_RMNH_INS_25515	11943266	11930056	NA	NA	NA	NA	NA
NCBN001861_F10_RMNH_INS_25493	1859248	1836014	5	12068	1276	2413.6	5516
NCBN002884_F11_MZLU00236123	117470	114594	11	7489	298	680.8	1946
NCBN001118_F12_RMNH_INS_25105	2212468	2205428	NA	NA	NA	NA	NA
NCBN002890_G01_RMNH_INS_21713	10696058	10623656	12	6230	294	519.2	961
NCBN002890_G02_RMNH_INS_22295	26075676	26023248	NA	NA	NA	NA	NA
NCBN002890_G03_RMNH_INS_1719816	15309238	15223948	4	14223	856	3555.8	5412
NCBN002890_G04_RMNH_INS_1719826	32208348	32135906	NA	NA	NA	NA	NA
NCBN002890_G05_RMNH_INS_31810	30826812	30655360	1	15277	15277	15277	15277
NCBN002890_G06_RMNH_INS_25613	31144446	31047042	1	15376	15376	15376	15376
NCBN001861_G07_RMNH_INS_25492	29390	25966	NA	NA	NA	NA	NA
NCBN002890_G07_RMNH_INS_25679	14081678	14046790	1	15141	15141	15141	15141
NCBN001861_G08_RMNH_INS_25481	80920	76262	NA	NA	NA	NA	NA
NCBN001861_G09_RMNH_INS_25533	175674	172628	NA	NA	NA	NA	NA
NCBN001861_G10_RMNH_INS_25528	85426	83350	NA	NA	NA	NA	NA
NCBN002884_G11_RMNH_INS_17058	29229206	29191926	1	14594	14594	14594	14594
NCBN001064_G12_RMNH_INS_25112	1109808	1093246	4	13615	1142	3403.8	5707
NCBN002890_H01_RMNH_INS_1719805	26847738	26756758	NA	NA	NA	NA	NA
NCBN002890_H02_RMNH_INS_1719810	17503066	17398186	10	7872	366	787.2	1311
NCBN002890_H03_RMNH_INS_22553	17688602	17623492	NA	NA	NA	NA	NA
NCBN002890_H04_RMNH_INS_23062	27717036	27636498	NA	NA	NA	NA	NA
NCBN002890_H05_RMNH_INS_31811	41980684	41752598	1	15153	15153	15153	15153
NCBN002890_H06_RMNH_INS_25614	13267242	13201342	7	11246	684	1606.6	3539
NCBN001861_H07_RMNH_INS_25508	14018	13034	NA	NA	NA	NA	NA
NCBN002890_H07_RMNH_INS_25680	12034958	11991446	1	15137	15137	15137	15137
NCBN001861_H08_RMNH_INS_25463	743934	738560	6	12166	1122	2027.7	3135
NCBN001861_H09_RMNH_INS_25538	148970	145270	NA	NA	NA	NA	NA
NCBN001861_H10_RMNH_INS_25476	159104	155760	NA	NA	NA	NA	NA
NCBN002884_H11_RMNH_INS_30295	70528	68066	NA	NA	NA	NA	NA
