
# plot_type: 'heatmap'
# section_name: 'Mitochondrial Genes Counts'
# description: 'Heatmap showing mitochondrial gene presence for phylogenetic analysis, after filtering alignments based on missing data'
# pconfig:
#   title: 'Mitochondrial Genes'
#   square: false
#   colstops:
#     - [0, '#ffffff']
#     - [1, '#1f77b4']
ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4l	nad5	nad6	rrnL	rrnS
NCBN001064_E08_RMNH_INS_25054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN001064_G12_RMNH_INS_25112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NCBN001861_C09_RMNH_INS_25526	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
NCBN001861_D10_RMNH_INS_25536	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
NCBN001861_F10_RMNH_INS_25493	1	1	1	1	2	1	1	1	0	1	1	1	1	0	0
NCBN001861_H08_RMNH_INS_25463	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1
NCBN002884_B12_MZLU00236121	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
NCBN002884_C08_RMNH_INS_30287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002884_C12_RMNH_INS_25629	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0
NCBN002884_D11_ZSM_Lep_160420	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002884_D12_ZSM_Lep_160416	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
NCBN002884_E11_RMNH_INS_15291	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
NCBN002884_F11_MZLU00236123	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0
NCBN002884_G11_RMNH_INS_17058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NCBN002890_A01_RMNH_INS_23293	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0
NCBN002890_A02_RMNH_INS_1719806	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_A03_RMNH_INS_1719811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_A05_RMNH_INS_1719828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_A07_RMNH_INS_25673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_B01_RMNH_INS_21896	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
NCBN002890_B02_RMNH_INS_1719807	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0
NCBN002890_B03_RMNH_INS_1719812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_B04_RMNH_INS_1719819	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
NCBN002890_B05_RMNH_INS_1719829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_B07_RMNH_INS_25676	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_B08_RMNH_INS_25682	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C01_RMNH_INS_1719804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C02_RMNH_INS_1719808	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
NCBN002890_C03_RMNH_INS_1719813	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
NCBN002890_C04_RMNH_INS_1719824	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C05_RMNH_INS_25263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C06_RMNH_INS_25608	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C07_RMNH_INS_25677	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_C08_RMNH_INS_25683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_D01_RMNH_INS_21715	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0
NCBN002890_D02_RMNH_INS_1719809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_D03_RMNH_INS_1719814	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_D05_RMNH_INS_1719830	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_D07_RMNH_INS_31854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_E01_RMNH_INS_21714	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
NCBN002890_E03_RMNH_INS_1719815	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_E05_RMNH_INS_1719831	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0
NCBN002890_E06_RMNH_INS_25610	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_E07_RMNH_INS_31855	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0
NCBN002890_F01_RMNH_INS_21717	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0
NCBN002890_F04_RMNH_INS_1719825	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0
NCBN002890_F06_RMNH_INS_25612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_F08_RMNH_INS_25615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_G01_RMNH_INS_21713	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0
NCBN002890_G03_RMNH_INS_1719816	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
NCBN002890_G05_RMNH_INS_31810	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_G06_RMNH_INS_25613	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_G07_RMNH_INS_25679	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_H02_RMNH_INS_1719810	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0
NCBN002890_H05_RMNH_INS_31811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NCBN002890_H06_RMNH_INS_25614	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0
NCBN002890_H07_RMNH_INS_25680	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
